QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197703.Q06FV1,Do more,48,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,08/31/1977,General Electric,,General Electric Survey,07/29/1977,08/9/1977,Y,"National adult, Professionals/Managers and College Students",3063,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197703.Q06FV1,Do less,19,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,08/31/1977,General Electric,,General Electric Survey,07/29/1977,08/9/1977,Y,"National adult, Professionals/Managers and College Students",3063,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197703.Q06FV1,Do same,29,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,08/31/1977,General Electric,,General Electric Survey,07/29/1977,08/9/1977,Y,"National adult, Professionals/Managers and College Students",3063,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197703.Q06FV1,Don't know/No answer/Refused,4,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,08/31/1977,General Electric,,General Electric Survey,07/29/1977,08/9/1977,Y,"National adult, Professionals/Managers and College Students",3063,Face-to-face interview,Interviews were conducted by Trendex.
