QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197704.Q07FV2,Do more,50,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 (1/3 sample),11/30/1977,General Electric,,General Electric Survey,10/28/1977,11/8/1977,Y,"National adult, Professionals/Managers and College Students",3017,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197704.Q07FV2,Do less,17,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 (1/3 sample),11/30/1977,General Electric,,General Electric Survey,10/28/1977,11/8/1977,Y,"National adult, Professionals/Managers and College Students",3017,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197704.Q07FV2,Do same,30,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 (1/3 sample),11/30/1977,General Electric,,General Electric Survey,10/28/1977,11/8/1977,Y,"National adult, Professionals/Managers and College Students",3017,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197704.Q07FV2,Don't know/No answer/Refused,4,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 (1/3 sample),11/30/1977,General Electric,,General Electric Survey,10/28/1977,11/8/1977,Y,"National adult, Professionals/Managers and College Students",3017,Face-to-face interview,Interviews were conducted by Trendex.
