QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197901.Q08FV1,Do more,47,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1979,General Electric,,General Electric Survey,01/26/1979,02/13/1979,Y,National adult and College Students,2053,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197901.Q08FV1,Do less,21,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1979,General Electric,,General Electric Survey,01/26/1979,02/13/1979,Y,National adult and College Students,2053,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197901.Q08FV1,Do same,29,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1979,General Electric,,General Electric Survey,01/26/1979,02/13/1979,Y,National adult and College Students,2053,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197901.Q08FV1,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1979,General Electric,,General Electric Survey,01/26/1979,02/13/1979,Y,National adult and College Students,2053,Face-to-face interview,Interviews were conducted by Trendex.
