QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197902.Q08FV1,Do more,52,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,05/31/1979,General Electric,,General Electric Survey,04/27/1979,05/15/1979,Y,National adult and College Students,2044,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197902.Q08FV1,Do less,18,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,05/31/1979,General Electric,,General Electric Survey,04/27/1979,05/15/1979,Y,National adult and College Students,2044,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197902.Q08FV1,Do same,27,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,05/31/1979,General Electric,,General Electric Survey,04/27/1979,05/15/1979,Y,National adult and College Students,2044,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197902.Q08FV1,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,05/31/1979,General Electric,,General Electric Survey,04/27/1979,05/15/1979,Y,National adult and College Students,2044,Face-to-face interview,Interviews were conducted by Trendex.
