QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197803.Q06FV1,Do more,49,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 (1/3 sample),08/31/1978,General Electric,,General Electric Survey,07/28/1978,08/15/1978,Y,National adult and College Students,2075,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197803.Q06FV1,Do less,19,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 (1/3 sample),08/31/1978,General Electric,,General Electric Survey,07/28/1978,08/15/1978,Y,National adult and College Students,2075,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197803.Q06FV1,Do same,30,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 (1/3 sample),08/31/1978,General Electric,,General Electric Survey,07/28/1978,08/15/1978,Y,National adult and College Students,2075,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197803.Q06FV1,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 (1/3 sample),08/31/1978,General Electric,,General Electric Survey,07/28/1978,08/15/1978,Y,National adult and College Students,2075,Face-to-face interview,Interviews were conducted by Trendex.
