QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197802.Q07FV1,Do more,45,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1978,General Electric,,General Electric Survey,04/28/1978,05/9/1978,Y,National adult and College Students,2042,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197802.Q07FV1,Do less,21,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1978,General Electric,,General Electric Survey,04/28/1978,05/9/1978,Y,National adult and College Students,2042,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197802.Q07FV1,Do same,30,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1978,General Electric,,General Electric Survey,04/28/1978,05/9/1978,Y,National adult and College Students,2042,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197802.Q07FV1,Don't know/No answer/Refused,4,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1978,General Electric,,General Electric Survey,04/28/1978,05/9/1978,Y,National adult and College Students,2042,Face-to-face interview,Interviews were conducted by Trendex.
