QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.198201.Q08FV1,Do more,46,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,02/28/1982,General Electric,,General Electric Survey,01/29/1982,02/16/1982,Y,National Adult,2023,Face-to-face interview,The interviews were conducted by Trendex.
USGE.198201.Q08FV1,Do less,24,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,02/28/1982,General Electric,,General Electric Survey,01/29/1982,02/16/1982,Y,National Adult,2023,Face-to-face interview,The interviews were conducted by Trendex.
USGE.198201.Q08FV1,Do same,29,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,02/28/1982,General Electric,,General Electric Survey,01/29/1982,02/16/1982,Y,National Adult,2023,Face-to-face interview,The interviews were conducted by Trendex.
USGE.198201.Q08FV1,Don't know/No answer/Refused,2,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,02/28/1982,General Electric,,General Electric Survey,01/29/1982,02/16/1982,Y,National Adult,2023,Face-to-face interview,The interviews were conducted by Trendex.
