QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.198003.Q09FV1,Do more,43,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 (1/3 sample),08/31/1980,General Electric,,General Electric Survey,07/25/1980,08/12/1980,Y,National adult and College Students,3093,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198003.Q09FV1,Do less,27,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 (1/3 sample),08/31/1980,General Electric,,General Electric Survey,07/25/1980,08/12/1980,Y,National adult and College Students,3093,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198003.Q09FV1,Do same,28,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 (1/3 sample),08/31/1980,General Electric,,General Electric Survey,07/25/1980,08/12/1980,Y,National adult and College Students,3093,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198003.Q09FV1,Don't know/No answer/Refused,2,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 (1/3 sample),08/31/1980,General Electric,,General Electric Survey,07/25/1980,08/12/1980,Y,National adult and College Students,3093,Face-to-face interview,Interviews were conducted by Trendex.
