QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197804.Q07FV2,Do more,47,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 2 half sample,11/30/1978,General Electric,,General Electric Survey,10/27/1978,11/14/1978,Y,National adult and College Students,2061,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197804.Q07FV2,Do less,20,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 2 half sample,11/30/1978,General Electric,,General Electric Survey,10/27/1978,11/14/1978,Y,National adult and College Students,2061,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197804.Q07FV2,Do same,29,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 2 half sample,11/30/1978,General Electric,,General Electric Survey,10/27/1978,11/14/1978,Y,National adult and College Students,2061,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197804.Q07FV2,Don't know/No answer/Refused,4,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 2 half sample,11/30/1978,General Electric,,General Electric Survey,10/27/1978,11/14/1978,Y,National adult and College Students,2061,Face-to-face interview,Interviews were conducted by Trendex.
