QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197904.Q07FV2,Do more,52,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1979,General Electric,,General Electric Survey,10/26/1979,11/13/1979,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197904.Q07FV2,Do less,23,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1979,General Electric,,General Electric Survey,10/26/1979,11/13/1979,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197904.Q07FV2,Do same,23,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1979,General Electric,,General Electric Survey,10/26/1979,11/13/1979,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197904.Q07FV2,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1979,General Electric,,General Electric Survey,10/26/1979,11/13/1979,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
