QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
31092130.00043,Do more,46,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like to see the government do more, do less, or do about the same as they have been on...Controlling the activities of large companies",,Asked of half sample of national adult sample (N = 1073),08/1/1971,General Electric,,General Electric Quarterly Survey - National adult sample,07/30/1971,08/6/1971,Y,"National adult, including an oversample of 333 Black Americans",2469,Telephone Interview,
31092130.00043,Do less,17,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like to see the government do more, do less, or do about the same as they have been on...Controlling the activities of large companies",,Asked of half sample of national adult sample (N = 1073),08/1/1971,General Electric,,General Electric Quarterly Survey - National adult sample,07/30/1971,08/6/1971,Y,"National adult, including an oversample of 333 Black Americans",2469,Telephone Interview,
31092130.00043,Do about the same,31,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like to see the government do more, do less, or do about the same as they have been on...Controlling the activities of large companies",,Asked of half sample of national adult sample (N = 1073),08/1/1971,General Electric,,General Electric Quarterly Survey - National adult sample,07/30/1971,08/6/1971,Y,"National adult, including an oversample of 333 Black Americans",2469,Telephone Interview,
31092130.00043,Don't know/No answer,6,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like to see the government do more, do less, or do about the same as they have been on...Controlling the activities of large companies",,Asked of half sample of national adult sample (N = 1073),08/1/1971,General Electric,,General Electric Quarterly Survey - National adult sample,07/30/1971,08/6/1971,Y,"National adult, including an oversample of 333 Black Americans",2469,Telephone Interview,
