QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197702.Q09FV1,Do more,54,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,05/31/1977,General Electric,,General Electric Survey,04/29/1977,05/10/1977,Y,"National adult, Professionals/Managers and College Students",3340,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197702.Q09FV1,Do less,16,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,05/31/1977,General Electric,,General Electric Survey,04/29/1977,05/10/1977,Y,"National adult, Professionals/Managers and College Students",3340,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197702.Q09FV1,Do same,27,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,05/31/1977,General Electric,,General Electric Survey,04/29/1977,05/10/1977,Y,"National adult, Professionals/Managers and College Students",3340,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197702.Q09FV1,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Form 1 half sample,05/31/1977,General Electric,,General Electric Survey,04/29/1977,05/10/1977,Y,"National adult, Professionals/Managers and College Students",3340,Face-to-face interview,Interviews were conducted by Trendex.
