QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197701.Q08FV1,Do more,52,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1977,General Electric,,General Electric Survey,01/28/1977,02/8/1977,Y,"National adult, Professionals/Managers and College Students",3417,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197701.Q08FV1,Do less,17,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1977,General Electric,,General Electric Survey,01/28/1977,02/8/1977,Y,"National adult, Professionals/Managers and College Students",3417,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197701.Q08FV1,Do same,26,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1977,General Electric,,General Electric Survey,01/28/1977,02/8/1977,Y,"National adult, Professionals/Managers and College Students",3417,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197701.Q08FV1,Don't know/No answer/Refused,5,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1977,General Electric,,General Electric Survey,01/28/1977,02/8/1977,Y,"National adult, Professionals/Managers and College Students",3417,Face-to-face interview,Interviews were conducted by Trendex.
