QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.197801.Q09FV1,Do more,49,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1978,General Electric,,General Electric Survey,01/27/1978,02/7/1978,Y,National adult and College Students,2039,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197801.Q09FV1,Do less,19,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1978,General Electric,,General Electric Survey,01/27/1978,02/7/1978,Y,National adult and College Students,2039,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197801.Q09FV1,Do same,27,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1978,General Electric,,General Electric Survey,01/27/1978,02/7/1978,Y,National adult and College Students,2039,Face-to-face interview,Interviews were conducted by Trendex.
USGE.197801.Q09FV1,Don't know/No answer/Refused,5,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,02/28/1978,General Electric,,General Electric Survey,01/27/1978,02/7/1978,Y,National adult and College Students,2039,Face-to-face interview,Interviews were conducted by Trendex.
