QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.198102.Q08FV1,Do more,42,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1981,General Electric,,General Electric Survey,04/24/1981,05/12/1981,Y,National adult and College Students,2072,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198102.Q08FV1,Do less,25,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1981,General Electric,,General Electric Survey,04/24/1981,05/12/1981,Y,National adult and College Students,2072,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198102.Q08FV1,Do same,30,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1981,General Electric,,General Electric Survey,04/24/1981,05/12/1981,Y,National adult and College Students,2072,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198102.Q08FV1,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies.",,Asked of Version 1 half sample,05/31/1981,General Electric,,General Electric Survey,04/24/1981,05/12/1981,Y,National adult and College Students,2072,Face-to-face interview,Interviews were conducted by Trendex.
