QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.198004.Q08FV2,Do more,43,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1980,General Electric,,General Electric Survey,10/31/1980,11/18/1980,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198004.Q08FV2,Do less,30,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1980,General Electric,,General Electric Survey,10/31/1980,11/18/1980,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198004.Q08FV2,Do same,25,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1980,General Electric,,General Electric Survey,10/31/1980,11/18/1980,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
USGE.198004.Q08FV2,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 2 half sample,11/30/1980,General Electric,,General Electric Survey,10/31/1980,11/18/1980,Y,National adult and College Students,2057,Face-to-face interview,Interviews were conducted by Trendex.
