QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGE.198203.Q07FV1,Do more,42,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,08/31/2002,General Electric,,General Electric Survey,07/30/1982,08/17/1982,Y,National adult and College Students,2063,Face-to-face interview,The interviews were conducted by Trendex.
USGE.198203.Q07FV1,Do less,26,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,08/31/2002,General Electric,,General Electric Survey,07/30/1982,08/17/1982,Y,National adult and College Students,2063,Face-to-face interview,The interviews were conducted by Trendex.
USGE.198203.Q07FV1,Do same,29,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,08/31/2002,General Electric,,General Electric Survey,07/30/1982,08/17/1982,Y,National adult and College Students,2063,Face-to-face interview,The interviews were conducted by Trendex.
USGE.198203.Q07FV1,Don't know/No answer/Refused,3,"(I would like to get your opinion on several areas of important government activities.) As I read each one, please tell me if you would like the government to do more, do less, or do about the same as they have been on...controlling the activities of large companies?",,Asked of Version 1 half sample,08/31/2002,General Electric,,General Electric Survey,07/30/1982,08/17/1982,Y,National adult and College Students,2063,Face-to-face interview,The interviews were conducted by Trendex.
