First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration(s)_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_prev_position,Following_position,Type_of_following_position,Source,Source2,Source3,Notes
Raymond,B.,Stevens,,Commissioner,,1933,1933,,D,FTC,3,Law,"Advisor in foreign affairs to King of Siam; previously: VP of US Shipping Board, US rep to Allied Maritime Council, FTC special counsel, member of House (NH), state house member (NH), private practice",Government,"Advisor in foreign affairs to King of Saigon, member of Federal Tarriff Commission",Government,Wiki,Congress bio,,
Ewin,L.,Davis,,Chair(x3)/commissioner,,1933,1949,,D,FTC,2,Law,"Member of House (TN); previously: director Traders National Bank of Tullahoma, judge of the seventh judicial circuit of TN, Chairman of the district exemption board",Government,Died,Died,Wiki,House bios,,Seems like a landing spot after losing an election?
George,C.,Mathews,,Commissioner,,1933,1934,,R,FTC,1,BA (economist?),"Director of Wisconsin Public Utilities Commission; previously: professor of public utilities at Northwestern, rate expert for Wisconsin Railroad Commission, public accounting firm",Government,"Member of SEC, VP for Northern States Power company, executive VP for Standard Gas and Electric company",Government,Wiki,NYT obit,,
William,A.,Ayers,,Chair (x3)/commissioner,,1934,1952,,D,FTC,3,Law,"Member of House (KS); previously: municipal prosecuting attorney, clerk for Court of Appeals of Kansas, private practice",Government,Died,Died,Wiki,Congress bio,,
Robert,E.,Freer,,Chair (x3)/commissioner,,1935,1948,,R,FTC,1,"LLB, LLM","special Council for the Senate Committee for Interstate Commerce; previously: attorney at Interstate Commerce Commission, Army, private law practice",Government,"Law firm (unclear), hearing examiner for Federal Power Commission",Law firm,NYT,Wiki,NYT2,"""quit to 'create financial security for my family'"" (NYT2)"
Robert,H. ,Jackson,,AAG antitrust,,1937,1938,FDR,NA,DOJ,NA,Attended law school but did not graduate with a degree,"Assistant Attorney General of Tax Division of DOJ; previously, Assistant General Counsel of Treasury's Bureau of Internal Revenue (now IRS), active in Roosevelt presidential campaign, private practice in NY",Government,"US Solicitor General, Attorney General, Associate Justice of SCOTUS, US Chief of Counsel on the International Military Tribunal (Nuremberg)",Government,Wiki,,,
Thurman,,Arnold,,AAG antitrust,,1938,1943,FDR,NA,DOJ,NA,LLB,"Special assistant to general counsel of Agricultural Adjustment Administration; previously: state representative/mayor Wyoming, faculty at various law schools, private law practice in Chicago and WY",Government,"Federal Judge (DC Court of Appeals), resigned in 1945 and went into private practice (co-founded Arnold and Porter)",Government,FJC,Wiki,,
Wendell,,Berge,,AAG antitrust,,1943,1947,FDR,NA,DOJ,NA,Law,"AAG of criminal division; previously: lawyer at DOJ, private practice",Government,Chairman of Small Manufacturers Emergency Committee (died shortly thereafter),Industry,NYT obit,,,
Lowell,B. ,Mason,,Chair/commissioner,,1945,1956,,R,FTC,5,LLB,"Private practice (unknown but practiced in front of the FTC); previously: counsel for various Senate committees, General Counsel, National Industrial Review Board, member of Illinois State Senate",Private practice,Law practice (unclear),Private practice,Wiki,Truman library,NYT,NYT: compares 10k salary of FTC commissioner to 37k salary of lawyer; son of a former Republican Senator
John,F.,Sonnett,,AAG antitrust,,1947,1948,Truman,NA,DOJ,NA,Law,"AAG of claims division; previously: US Attorney for Southern District of NY, special assistant to secretary of Navy",Government,Law firm senior partner (Cahill Gordon Sonnett Reindel & Ohl),Law firm,NYT obit,,,
Herbert,,Bergson,,AAG antitrust,,1948,1950,Truman,NA,DOJ,NA,Law,Acting AAG of claims division; previously: spent 14 years at DOJ,Government,Private practice,Private practice,NYT-bio,NYT-investigation,WaPo obit,Later investigated by House Judiciary committee for taking fees from business interests
John,,Carson,,Commissioner,,1948,1953,,Independent,FTC,1,None,"Information director for Cooperative League of US; previously: government (economic advisor for Sen Couzens, clerked Senate committees, member on Consumers Council) journalist ",Government,Unclear,Unclear,NYT,Senate hearing records,,
James,M.,Mead,,Chair/commissioner,,1949,1955,,D,FTC,4,"Unclear, probably none","US Senator (NY)/failed to win NY governorship; previously: member of House (NY), NY state assembly, police officer, railroad worker",Government,"Director of Washington DC office of NY Dept of Commerce, retired",Government,Wiki,NYT obit,,
Leonard,,Bessman,,AAG antitrust,,1950,1951,Truman,NA,DOJ,NA,Law,Assistant Attorney General of Wisconsin in charge of antitrust; previously: special attorney for antitrust division of DOJ,Government,"Private practice, chairman of Wisconsin public service commission, US bankruptcy judge",Private practice,"See ""Documents"" folder",Obit in local paper,,"In nomination testimony Bessman states that AAG for antitrust created ""1 year ago"""
Stephen,J.,Spingarn,,Commissioner,,1950,1953,,D,FTC,2,Law,"Administrative Assistant to President Truman; previously: Special Counsel to President Truman, lawyer at Dept of Treasury",Government,"Unclear, served on Democratic National Committee Small Business Advisor Committee",Unclear,Wiki,JFK library,,
H.,Graham,Morison,,AAG antitrust,,1951,1952,Truman,NA,DOJ,NA,Law,"Acting Deputy Attorney General; previously: AAG of civil division, executive assistant to AG, special assistant to AG, other government roles during WWII, private practice",Government,Law firm,Law firm,Truman library,Truman library oral history,,
Newell,A. ,Clapp,,AAG antitrust,,1952,1953,acting,NA,DOJ,NA,Law,,,,,,,,Unknown; likely DOJ staff because acting position; confirmed served in Truman admin
Albert,A.,Carretta,,Commissioner,,1952,1954,,D,FTC,3,"Economics, law","Law practice (unknown) and law lecturer; previously: worked for SEC, taught economics",Private practice,Law practice (represented corporations and trade associations before federal agencies),Private practice,NYT,,,
Stanley,,Barnes,,AAG antitrust,,1953,1956,Eisenhower,NA,DOJ,NA,JD,"Presiding judge on LA Superior Court; previously: private practice, lecturer at USC",Government,Federal judge (US Court of Appeals 9th Circut),Government,Wiki,,,political organizer for Republicans in CA
John,W.,Gwynne,,Chair/commissioner,,1953,1959,,R,FTC,2,Law,"Member of House (Iowa); previously: county attorney, judge of the municipal court, private practice, farmer",Government,Law practice (Iowa),Private practice,Wiki,House bios,NYT,
Edward,F.,Howrey,,Chair,,1953,1955,,R,FTC,1,LLB,Private law practice in DC and Chicago; previously: DOJ attorney in antitrust division,Private practice,Law firm (Howrey) founder and specializes in antitrust,Law firm,Wiki,,,
