usCite,caseName,dateDecision,majOpinWriter,majVotes,minVotes,vote_JHarlan2,vote_HLBlack,vote_WODouglas,vote_PStewart,vote_TMarshall,vote_WJBrennan,vote_BRWhite,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan
137 S.Ct. 289 (Mem),Visa v. Osborn,2016/11/17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138 S.Ct. 2274,Ohio v. American Express Co.,2018/06/25 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139 S.Ct. 1514,Apple Inc. v. Pepper,2019/05/13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141 S.Ct. 2141,National Collegiate Athletic Association v. Alston,2021/06/21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399 US 350,U.S. v. Phillipsburg,1970/06/29 00:00:00,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
