First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Education_law,Education_LLB,Education_JD,Education_econ,Education_Phd,Education_other,Previous_position,Type_of_previous_position ,Generalized_previous_experience,Prev_exp_pol,Prev_exp_civil,Prev_exp_elect,Prev_exp_law_firm,Prev_exp_private_practice,Prev_exp_industry,Prev_exp_academia,Prev_exp_unclear,Following_position,Type_of_following_position,Generalized_following_experience,Follow_exp_pol,Follow_exp_civil,Follow_exp_elect,Follow_exp_law_firm,Follow_exp_private_practice,Follow_exp_academia,Follow_exp_industry,Follow_exp_unclear,Follow_exp_died_or_retired,Following_law_firms,Birth_year,Appointment_age,Appointment_age_rounded,Source,Source2,Source3,Notes
John,F.,Nugent,,Chair/commissioner,,1921,1927,,D,FTC,4,Law,1,,,,,,"US Senator (Idaho); previously: law practice, local municipal prosecuting attorney",Government,Electoral,,,1,,,,,,"Unsuccessfully ran for Senate again, law firm (Nugent and O'Hara)",Government,"Electoral, law firm",,,1,1,,,,,,Nugent & O'Hara,1868,53,50,Wiki,NYT obit,,
Abram,F. ,Myers,,Chair/commissioner,,1926,1929,,R,FTC,5,Law,1,,,,,,Senior attorney at DOJ on antitrust; previously: DOJ staff attorney,Government,Civil service,,1,,,,,,,General counsel and board chairman of the Allied States Association of Motion Picture Exhibitors,Industry,Industry,,,,,,,1,,,,1889,37,40,Wiki,MPPDA digital archive,,
Wendell,,Berge,,AAG antitrust,,1943,1947,FDR,NA,DOJ,NA,Law,1,,,,,,"AAG of criminal division; previously: lawyer at DOJ, private practice",Government,Civil service,,1,,,,,,,Chairman of Small Manufacturers Emergency Committee (died shortly thereafter),Industry,Industry,,,,,,,1,,,,1903,40,40,NYT obit,,,
David,Short,Dennison,Jr. ,Commissioner,,1970,1973,,R,FTC,5,Law,1,,,,,,"Consultant for 1959 Civil Rights Commission; previously: unsuccessfully ran for House (after), member of House (OH), special assistant to OH state AG, private practice",Government,Electoral,,,1,,,,,,Business executive,Industry,Industry,,,,,,,1,,,,1918,52,50,Wiki,Congress bio,,
George,W.,Douglas,,Commissioner,,1982,1985,,D,FTC,3,PhD (economist),,,,1,1,,"President of Southwest Econometrics; previously: Brookings fellowship at Dept of Transportation, professor (UNC)",Industry,Industry,,,,,,1,,,Economics business (assuming continuation of Southwest Econometrics),Industry,Industry,,,,,,,1,,,,1938,44,40,NYT,obit in local paper,,Also younger
Deborah,Platt,Majoras,,Chair,,2004,2008,,R,FTC,1,JD,1,,1,,,,"Law firm partner (Jones Day); previously: Deputy AAG of DOJ antitrust, law firm (Jones Day), law clerk for federal district court",Law firm,"Law firm, political",1,,,1,,,,,"Senior VP/general counsel at Procter & Gamble, chief legal officer/secretary of P&G",Industry,Industry,,,,,,,1,,,,1966,38,40,Wiki,Bloomberg,,
William,B.,Colver,,Chair/commissioner,,1917,1920,,D,FTC,4,Law,1,,,,,,"Member of US gov WWI price fixing board; previously: journalist/editor, local law practice",Government,Political,1,,,,,,,,Newspaper editor,Industry,Industry,,,,,,,1,,,,1870,47,50,NYT obit,Wiki,,Wife received obituary in NYT on the basis of her association with him
Edward,T.,Tait,,Commissioner,,1956,1960,,R,FTC,5,Law,1,,,,,,"Executive director of SEC; previously: special assistant for Eisenhower, ""lesser federal posts"", private practice",Government,Political,1,,,,,,,,Private business,Industry,Industry,,,,,,,1,,,,1920,36,40,NYT obit,NYT1,,
Lewis,A. ,Engman,,Chair,,1973,1975,,R,FTC,4,Law,1,,,,,,"Assistant director of WH domestic policy council; previously: legislative counsel and general counsel to the President's special assistant for consumer affairs, law practice (Michigan)",Government,Political,1,,,,,,,,"Pharmaceutical industry spokesman, law firm (Winston & Strawn)",Industry,Industry,,,,,,,1,,,,1936,37,40,Wiki,NYT obit,,
Victor,,Murdock,,Chair(x2)/commissioner,,1917,1924,,Progressive,FTC,2,Primary,,,,,,1,"War correspondent; previously: chairman of National Committee of the Progressive Party, House member from KS, clerk at KS appellate court, newspaper editor, journalist",Journalist,"Political, electoral, industry",1,,1,,,1,,,Newspaper editor,Journalist,Industry,,,,,,,1,,,,1871,46,50,Wiki,House bios,,
