First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Education_law,Education_LLB,Education_JD,Education_econ,Education_Phd,Education_other,Previous_position,Type_of_previous_position ,Generalized_previous_experience,Prev_exp_pol,Prev_exp_civil,Prev_exp_elect,Prev_exp_law_firm,Prev_exp_private_practice,Prev_exp_industry,Prev_exp_academia,Prev_exp_unclear,Following_position,Type_of_following_position,Generalized_following_experience,Follow_exp_pol,Follow_exp_civil,Follow_exp_elect,Follow_exp_law_firm,Follow_exp_private_practice,Follow_exp_academia,Follow_exp_industry,Follow_exp_unclear,Follow_exp_died_or_retired,Following_law_firms,Birth_year,Appointment_age,Appointment_age_rounded,Source,Source2,Source3,Notes
Thomas,B.,Leary,,Commissioner,,1999,2005,,R,FTC,5,"JD, BA (economics)",1,,1,1,,,"Law firm (Hogan & Hartson); previously: Assistant General Counsel of General Motors, law firm (White & Case)",Law firm,"Law firm, industry",,,,1,,1,,,Law firm (Hogan Lovells),Law firm,Law firm,,,,1,,,,,,Hogan Lovells,,NA,#VALUE!,FTC bio,Open Secrets,ABA bio,
Deborah,A. ,Garza,,AAG antitrust,,2008,2009,acting,NA,DOJ,NA,JD,1,,1,,,,Deputy Assistant Attorney General for regulatory affairs; previously law firm partner (Fried Frank Harris Shriver & Jacobson),Government,"Law firm, political",1,,,1,,,,,Law firm (Covington & Burling),Law firm,Law firm,,,,1,,,,,,Covington & Burling,1956,52,50,Bloomberg,LinkedIn,,
Christine,A.,Varney,,AAG antitrust,,2009,2011,Obama,NA,DOJ,NA,"JD, MPA",1,,1,,,1,"Law firm (Hogan & Hartson); previously: FTC Commissioner under Clinton, then partner at Hogan and Hartson (Internet practice group), registered lobbyist",Law firm,"Law firm, political",1,,,1,,,,,"Partner at law firm (Cravath Swaine and Moore) advising on mergers, joined Columbia Law faculty",Law firm,Law firm,,,,1,,,,,,Cravath,1955,54,50,Wiki,,,
Walker,B.,Comegys,,AAG antitrust,,1972,1972,acting,NA,DOJ,NA,LLB,1,1,,,,,"Deputy AAG of antitrust; previously: law firm partner (Goodwin, Procter & Hoar)",Government,"Law firm, political",1,,,1,,,,,"Law firm (Mintz, Levin, Cohn & Glovsky)",Law firm,Law firm,,,,1,,,,,,Mintz Levin Cohn & Glovsky,1929,43,40,NYT,Prabook,,Find better sourcing
J.,Thomas,Rosch,,Commissioner,,2006,2013,,R,FTC,5,LLB,1,1,,,,,"Law firm partner in antitrust group (Latham & Watkins); previously: director of FTC bureau of competition, law firm (McCutchen, Doyle, Brown & Enersen)",Law firm,"Law firm, political",1,,,1,,,,,Law firm (Latham Watkins),Law firm,Law firm,,,,1,,,,,,Latham Watkins,1939,67,70,Wiki,"See ""Documents"" folder",Law firm bio,
Maureen,K.,Ohlhausen,,Commissioner/Acting chair,,2012,2018,,R,FTC,4,JD,1,,1,,,,"Law firm partner (Wilkinson Barker Knauer); previously: various positions at FTC (from legal staff to director of office of policy planning), technology policy counsel at Business Software Alliance, , adjunct faculty at George Mason Law, federal court law clerk for US court of appeals and federal claims court",Law firm,"Law firm, political, industry",1,,,1,,1,,,Partner and co-chair of antitrust practice at law firm (Baker Botts),Law firm,Law firm,,,,1,,,,,,Baker Botts,1962,50,50,Wiki,"Nomination document can be found in the ""Documents"" folder",,Nominated by Trump to federal judiciary but decided to go back to law firm
Joseph,J.,Simons,,Chair,,2018,2021,,R,FTC,3,JD,1,,1,,,,"Law firm (Paul Weiss); previously: director of FTC bureau of competition, board member/VP at Madison Oil company, law firms (Wachtell, Lipton, Rosen & Katz/ Collier, Shannon, Rill & Scott/Clifford Chance), assistant to several FTC bureau directors, law firms' associates (Wald, Harkrader & Ross/Skkaden)",Law firm,"Law firm, political, industry",1,,,1,,1,,,Law firm (Paul Weiss),Law firm,Law firm,,,,1,,,,,,Paul Weiss,1958,60,60,Nomination document,LinkedIn,,
David,A. ,Clanton,,Acting chair/commissioner,,1976,1983,,R,FTC,4,JD,1,,1,,,,"Legislative assistant to the assistant Senate minority leader; previously: minority staff council for Senate Commerce, legislative assistant to Sen Griffin",Government,Political,1,,,,,,,,Law firm (Baker McKenzie),Law firm,Law firm,,,,1,,,,,,Baker McKenzie,1944,32,30,Wiki,Super Lawyers profile,NYT2,"NYT2: ""In fact, a study of the commission by Mr. Reagan's transition team had recommended that neither Mr. Clanton nor Patricia Bailey, the commission's other Republican, be appointed chairman because neither shared ''the President's basic philosophy.''""; also quite young"
Jon,,Leibowitz,,Chair/commissioner,,2004,2013,,D,FTC,3,JD,1,,1,,,,"VP of Congressional affairs for Motion Pictures Association of America; previously: chief counsel/staff director of Senate antitrust/terrorism and technology/juvenile justice subcommittees, chief counsel to Sen Kohl, counsel to Sen Simon, private practice (unknown)",Industry,Political,1,,,,,,,,Law firm partner/counsel (Davis Pollack & Wardwell),Law firm,Law firm,,,,1,,,,,,Davis Pollack & Wardwell,1958,46,50,Wiki,LinkedIn,,Wikipedia: successfully advocated for repeal of Obama-era regulations for current clients
J.,Mark,Gidley,,AAG antitrust,,1992,1993,acting,NA,DOJ,NA,"JD, BS",1,,1,,,1,Deputy Assistant Attorney General for Regulated Industries in the Antitrust Division; previously: Associate Deputy Attorney General under Deputy AG Barr,Government,Political,1,,,,,,,,"Law firm (Shaw Pittman, then White & Case)",Law firm,Law firm,,,,1,,,,,,"Shaw Pittman, White & Case",1960,32,30,LinkedIn,Bio,,"""Mark Gidley has an excellent reputation for cartel defense matters."""
Patricia,P.,Bailey,,Commissioner,,1979,1988,,R,FTC,1,"JD, MA",1,,1,,,1,"Executive legal assistant to the General Counsel at the Merit Systems Protection Board; previously: special assistant to AAG for Improvements in the Administration of Justice at DOJ, Rockefeller campaign staff, staff assistant in House for Rep Morse, worked several positions at USAID",Government,Political,1,,,,,,,,"Law firm (Squire, Sanders and Dempsey)",Law firm,Law firm,,,,1,,,,,,Squire Sanders & Dempsey,1937,42,40,APP,CSPAN,,Wife of political advisor to influential Senator
John,F.,Sonnett,,AAG antitrust,,1947,1948,Truman,NA,DOJ,NA,Law,1,,,,,,"AAG of claims division; previously: US Attorney for Southern District of NY, special assistant to secretary of Navy",Government,Political,1,,,,,,,,Law firm senior partner (Cahill Gordon Sonnett Reindel & Ohl),Law firm,Law firm,,,,1,,,,,,Cahill Gordon Sonnett Reindel & Ohl,1912,35,40,NYT obit,,,
Orson,,Swindle,,Commissioner,,1997,2005,,R,FTC,4,MBA,,,,,,1,Twice unsuccessful candidate for House (HI); previously: Assistant Secretary of Commerce under Reagan,Government,Political,1,,,,,,,,Law firm (Hunton & Williams),Law firm,Law firm,,,,1,,,,,,Hunton & Williams,1937,60,60,Wiki,Open Secrets,,
H.,Graham,Morison,,AAG antitrust,,1951,1952,Truman,NA,DOJ,NA,Law,1,,,,,,"Acting Deputy Attorney General; previously: AAG of civil division, executive assistant to AG, special assistant to AG, other government roles during WWII, private practice",Government,"Political, civil servant",1,1,,,,,,,Law firm,Law firm,Law firm,,,,1,,,,,,Unclear,1907,44,40,Truman library,Truman library oral history,,
John,R.,Reilly,,Commissioner,,1964,1967,,D,FTC,4,Law,1,,,,,,"Aide to AG Kennedy; previously: Kennedy campaign, trial lawyer for DOJ antitrust",Government,"Political, civil servant",1,1,,,,,,,"Law firm (Pierson, Ball & Dowd, Winston & Strawn), other Democratic campaigns",Law firm,Law firm,,,,1,,,,,,"Pierson, Ball & Dowd, Winston & Strawn",1928,36,40,Wiki,NYT obit,,Close ally of Kennedys
Andrew,J.,Strenio,Jr.,Commissioner,,1986,1991,,D,FTC,3,"JD, MPP",1,,1,,,1,"member of the Interstate Commerce Commission; previously: assistant director for regulatory evaluation at FTC, staff economist/lawyer for President's Council of Economic Advisers",Government,"Political, civil service",1,1,,,,,,,"Law firm (Fox, Bennett & Turner)",Law firm,Law firm,,,,1,,,,,,Fox Bennett & Turner,1953,33,30,NYT1,NYT2,Bloomberg bio,Also very young
Mary,L.,Azcuenaga,,Commissioner,,1984,1998,,Independent,FTC,5,Law,1,,,,,,Assistant General Counsel for Legal Counsel at FTC; previously: staff lawyer for FTC (various positions),Government,"Political, civil service",1,1,,,,,,,"Law firm (Heller Ehrman, Baker & McKenzie), independent consultant for regulatory reform",Law firm,Law firm,,,,1,,,,,,"Heller Ehrman, Baker & McKenzie",1945,39,40,FTC bio,LinkedIn,,
Charles,,James,,AAG antitrust,,1992,1992,acting,NA,DOJ,NA,JD,1,,1,,,,"Deputy AAG of antitrust; previously: law firm (Jones Day), Assistant to Director of FTC's Bureau of Competition",Government,"Political, law firm",1,,,1,,,,,Law firm (Jones Day),Law firm,Law firm,,,,1,,,,,,Jones Day,1954,38,40,Wiki,Justice,,
Terrell,,McSweeny,,Commissioner,,2014,2018,,R,FTC,3,JD,1,,1,,,,"Chief counsel for section of DOJ antitrust; previously: Deputy Assistant to President Obama, VP Biden Domestic Policy Advisor, Biden Senate staff, counsel for Senate Judiciary committee, law firm (O'Melveny & Myers)",Government,"Political, law firm",1,,,1,,,,,Partner at law firm (Covington & Burling),Law firm,Law firm,,,,1,,,,,,Covington & Burling,,NA,#VALUE!,Wiki,LinkedIn,,
Thomas,O.,Barnett,,AAG antitrust,,2005,2008,GWB,NA,DOJ,NA,"JD, MS in Economics",1,,1,1,,1,"Deputy  AAG of civil enforcement; previously: partner at law firm (Covington & Burling, vice chair of antitrust group), only public service prior is federal clerk",Government,"Political, law firm",1,,,1,,,,,Law firm (co-chair of antitrust group at Covington),Law firm,Law firm,,,,1,,,,,,Covington & Burling,1963,42,40,Justice,Covington,,
John,H. ,Shenefield,,AAG antitrust,,1977,1979,Carter,NA,DOJ,NA,LLB,1,1,,,,,"Deputy Assistant Attorney General of antitrust (?); previously: law firm (Hunton and Williams), professor of economics",Government,"Political, law firm",1,,,1,,,,,"Law firm (Morgan, Lewis & Bockius)",Law firm,Law firm,,,,1,,,,,,Morgan Lewis & Bockius,1939,38,40,Wiki,NYT,,
Edwin,,Zimmerman,,AAG antitrust,,1968,1969,LBJ,NA,DOJ,NA,Law,1,,,,,,"Deputy AAG in antitrust; previously: private practice, lecturer at Stanford Law, SCOTUS law clerk",Government,"Political, private practice",1,,,,1,,,,Law firm (Covington and Burling),Law firm,Law firm,,,,1,,,,,,Covington & Burling,1924,44,40,WaPo,,,
Edward,F.,Howrey,,Chair,,1953,1955,,R,FTC,1,LLB,1,1,,,,,Private law practice in DC and Chicago; previously: DOJ attorney in antitrust division,Private practice,"Private practice, civil servant",,1,,,1,,,,Law firm (Howrey) founder and specializes in antitrust,Law firm,Law firm,,,,1,,,,,,Howrey,1903,50,50,Wiki,,,
Lowell,B. ,Mason,,Chair/commissioner,,1945,1956,,R,FTC,5,LLB,1,1,,,,,"Private practice (unknown but practiced in front of the FTC); previously: counsel for various Senate committees, General Counsel, National Industrial Review Board, member of Illinois State Senate",Private practice,"Private practice, civil servant, electoral",,1,1,,1,,,,Law practice (unclear),Law firm,Law firm,,,,1,,,,,,Unclear,1893,52,50,Wiki,Truman library,NYT,NYT: compares 10k salary of FTC commissioner to 37k salary of lawyer; son of a former Republican Senator
R.,Hewitt,Pate,,AAG antitrust,,2003,2005,GWB,NA,DOJ,NA,JD,1,,1,,,,"Deputy AAG of regulatory affairs; previously: unclear related to international antitrust, SCOTUS law clerk for Powell and Kennedy",Government,Civil service,,1,,,,,,,"Law firm (Hunton & Williams, heads global competition practice), General counsel of Chevron",Law firm,"Law firm, industry",,,,1,,,1,,,Hunton & Williams,1963,40,40,Justice,Chevron,,
Sanford,,Litvack,,AAG antitrust,,1979,1981,Carter,NA,DOJ,NA,LLB,1,1,,,,,Law firm; previously: participated in AG honors program at DOJ,Law firm,Law firm,,,,1,,,,,"Law firms, Disney general counsel",Law firm,"Law firm, industry",,,,1,,,1,,, Unclear,1937,42,40,Law.com,,,
Pamela,Jones,Harbour,,Commissioner,,2003,2010,,Independent,FTC,2,JD,1,,1,,,,"Law firm antitrust partner (Kaye Scholer); previously: assistant First Deputy NY AG, Deputy NY AG of public advocacy division, staff lawyer in NY AG office",Law firm,"Law firm, political",1,,,1,,,,,"Law firm (Fulbright & Jaworski, Baker Hostetler), legal officer/VP of Herbalife",Law firm,"Law firm, industry",,,,1,,,1,,,"Fulbright & Jaworski, Baker Hostetler",1959,44,40,Wiki,LinkedIn,,
Calvin,J.,Collier,,Commissioner,,1976,1977,,R,FTC,3,LLB,1,1,,,,,"FTC's general counsel; previously: associate director of OMB with purview over FTC under Ford, director of urban program coordination for Dept of HUD, law clerk for DC court of appeals",Government,Political,1,,,,,,,,"Law firm (Kirkland, Ellis, Hodson, Chaffetz & Masters, Hughes Hubbard), various positions at Kraft Inc. (Senior VP, General Counsel, Secretary)",Law firm,"Law firm, industry",,,,1,,,1,,,"Kirkland Ellis, Chaffetz & Masters, Hughes Hubbard",1942,34,30,Wiki,NYT,Prabook,"NYT: ""A young lawyer of some note among Government officials but anonymous by national standards"", ""youngest person ever"""
Julie,,Brill,,Commissioner,,2010,2016,,D,FTC,2,"JD, BA (economics)",1,,1,,,1,"Senior Deputy AG of antitrust in North Carolina; previously: Vermont AAG for antitrust, law firm (Paul Weiss), clerked for federal court",Government,"Political, law firm",1,,,1,,,,,"Partner at law firm (Hogan Lovells), VP/general counsel at Microsoft",Law firm,"Law firm, industry",,,,1,,,1,,,Hogan Lovells,1958,52,50,Wiki,LinkedIn,FTC bio,
Sharis,,Pozen,,AAG antitrust,,2011,2012,acting,NA,DOJ,NA,JD,1,,1,,,,"Chief of Staff at DOJ; previously: law firm partner (Hogan & Hartson), staff attorney at FTC (10+ years)",Government,"Political, law firm, civil service",1,1,,1,,,,,"Law firm partner, competition and antitrust counsel at GE",Law firm,"Law firm, industry",,,,1,,,1,,,Unclear,1963,48,50,Bloomberg,,,
Douglas,,Melamed,,AAG antitrust,,2000,2001,acting,NA,DOJ,NA,JD,1,,1,,,,"Principal Deputy AAG of antitrust; previously: partner at law firm (Wilmer, Cutler and Pickering)",Government,"Political, law firm",1,,,1,,,,,"Law firm (chair of antitrust group at WilmerHale), senior VP and General Counsel of Intel, professor at Stanford Law",Law firm,"Law firm, industry, academia",,,,1,,1,1,,,WilmerHale,1945,55,60,link,link2,,
William,Horsley,Orrick,Jr.,AAG antitrust,,1963,1965,JFK,NA,DOJ,NA,LLB,1,1,,,,,"Deputy Undersecretary of State for Administration at State Dept; previously: AAG of civil division of DOJ, law firm",Government,Political,1,,,,,,,,"Law firm (unclear), federal judge (N CA District Court)",Law firm,"Law firm, political",1,,,1,,,,,,Unclear,1915,48,50,Wiki,,,
Christine,A. ,Varney,,Commissioner,,1994,1997,,D,FTC,3,"JD, MPA",1,,1,,,1,"Assistant to President Clinton and Secretary of the Cabinet; previously: law firm (Hogan & Hartson), general counsel for Dem National Committee, various Clinton 1992 campaign positions",Government,"Political, law firm",1,,,1,,,,,"Law firm (Hogan & Hartson), AAG of DOJ antitrust, law firm partner (Cravath)",Law firm,"Law firm, political",1,,,1,,,,,,"Hogan & Hartson, Cravath",1955,39,40,Wiki,ACS bio,Cravath bio,
Christine,S.,Wilson,,Commissioner,,2018,NA,,R,FTC,4,JD,1,,1,,,,"Senior VP at Delta (legal regulatory); previously: law firms (Kirkland & Ellis/ O'Melveny & Myers/ Howrey), chief of staff/consultant of FTC Commissioner Muris, law firms (Howrey/Shannon Rill and Scott), law clerk at FTC",Industry,"Industry, law firm, political, civil servant",1,1,,1,,1,,,NA,NA,NA,,,,,,,,,,,1958,60,60,Nomination document,,,
Rohit,,Chopra,,Commissioner,Yes,2018,NA,Trump,D,FTC,5,MBA,,,,,,1,"Special Adviser to the Secretary of Education; previously: mostly government (CFPB, Dept. of Education) as well as McKinsey",Government,"Political, industry",1,,,,,1,,,NA,NA,NA,,,,,,,,,,,1982,36,40,FTC bios,"See ""Documents""",,
Rebecca,,Slaughter,,Acting chair,Yes,2018,NA,Trump,D,FTC,1,JD,1,,1,,,,Chief Counsel for Sen. Schumer; previously: law firm experience (Sidley Austin LLP),Government,"Political, law firm",1,,,1,,,,,NA,NA,NA,,,,,,,,,,,1980,38,40,FTC bios,,,
Noah,Joshua,Phillips,,Commissioner,Yes,2018,NA,Trump,R,FTC,2,JD,1,,1,,,,"Chief Counsel for Sen. Cornyn; previously: advised Judiciary committee, law firms (unclear)",Government,"Political, law firm",1,,,1,,,,,NA,NA,NA,,,,,,,,,,,1978,40,40,link,,,
James,M.,Mead,,Chair/commissioner,,1949,1955,,D,FTC,4,"Unclear, probably none",,,,,,,"US Senator (NY)/failed to win NY governorship; previously: member of House (NY), NY state assembly, police officer, railroad worker",Government,Electoral,,,1,,,,,,"Director of Washington DC office of NY Dept of Commerce, retired",Government,Political,1,,,,,,,,,,1885,64,60,Wiki,NYT obit,,
Edward,N.,Hurley,,Chair/commissioner,,1915,1917,,D,FTC,4,None,,,,,,1,"President of Hurley Machine Company; previously: president of National Bank of Wheaton, additional private corporations",Industry,Industry,,,,,,1,,,"Chairman of US Shipping Board (government position), member of US World War debt funding commission, involved with Dem and Rep party conventions, involved with 1933 Chicago World Fair",Government,Political,1,,,,,,,,,,1864,51,50,Wiki,NYT obit,,
Richard,W.,McLaren,,AAG antitrust,,1969,1972,Nixon,NA,DOJ,NA,LLB,1,1,,,,,"Law firm (unclear, Chicago area); previously: private practice in NY, Army Air Corps",Law firm,Law firm,,,,1,,,,,"Federal judge (US District Court, IL)",Government,Political,1,,,,,,,,,,1918,51,50,link,,,
Robert,H. ,Jackson,,AAG antitrust,,1937,1938,FDR,NA,DOJ,NA,Attended law school but did not graduate with a degree,,,,,,1,"Assistant Attorney General of Tax Division of DOJ; previously, Assistant General Counsel of Treasury's Bureau of Internal Revenue (now IRS), active in Roosevelt presidential campaign, private practice in NY",Government,Political,1,,,,,,,,"US Solicitor General, Attorney General, Associate Justice of SCOTUS, US Chief of Counsel on the International Military Tribunal (Nuremberg)",Government,Political,1,,,,,,,,,,1892,45,50,Wiki,,,
Stanley,,Barnes,,AAG antitrust,,1953,1956,Eisenhower,NA,DOJ,NA,JD,1,,1,,,,"Presiding judge on LA Superior Court; previously: private practice, lecturer at USC",Government,Political,1,,,,,,,,Federal judge (US Court of Appeals 9th Circuit),Government,Political,1,,,,,,,,,,1900,53,50,Wiki,,,political organizer for Republicans in CA
Elizabeth,Hanford,Dole,,Commissioner,,1973,1979,,Independent,FTC,1,JD,1,,1,,,,Head of White House Office of Consumer Affairs under Nixon; previously: worked for LBJ's President’s Committee for Consumer Interests and HHS dept,Government,Political,1,,,,,,,,"Assistant for public liaison for Reagan, Secretary of Transportation, Secretary of Labor, NC senator",Government,Political,1,,,,,,,,,,1936,37,40,UVA website,House bios,,Appointed prior to marriage to Sen Bob Dole
Joseph,E.,Davis,,Chair/commissioner,,1916,1918,,D,FTC,5,Law,1,,,,,,"Head of Bureau of Corporations (FTC predecessor); previously: high-level campaign staff on Wilson's campaign, private practice, chairman of WI Democratic Party",Government,Political,1,,,,,,,,"Unsuccessfully ran for Senate, economic advisor to US during Paris Peace conference, law firm (defended Ford in famous case against IRS), Ambassador to USSR, additional political/diplomatic appointments",Government,Political,1,,,,,,,,,,1876,40,40,Wiki,,,Bureau of Corporations job was a reward for helping Wilson to win the election
Douglas,H. ,Ginsburg,,AAG antitrust,,1985,1986,Reagan,NA,DOJ,NA,"JD, BS",1,,1,,,1,"Principal Deputy AAG of antitrust; previously: Administrator of Office of Info and Regulatory Affairs, OMB in Reagan administration, professor at Harvard Law",Government,"Political, academia",1,,,,,,1,,"Federal judge (DC Court of Appeals), adjunct at George Mason law, nominated for SCOTUS",Government,Political,1,,,,,,,,,,1946,39,40,link,,,
Lee,,Loevinger,,AAG antitrust,,1961,1963,JFK,NA,DOJ,NA,JD,1,,1,,,,"Judge (MN Supreme Court); previously: trial lawyer for National Labor Relations Board in NY, lawyer at DOJ antitrust",Government,"Political, civil servant",1,1,,,,,,,member of FCC,Government,Political,1,,,,,,,,,,1913,48,50,link,,,
Raymond,B.,Stevens,,Commissioner,,1933,1933,,D,FTC,3,Law,1,,,,,,"Advisor in foreign affairs to King of Siam; previously: VP of US Shipping Board, US rep to Allied Maritime Council, FTC special counsel, member of House (NH), state house member (NH), private practice",Government,"Political, electoral",1,,1,,,,,,"Advisor in foreign affairs to King of Saigon, member of Federal Tarriff Commission",Government,Political,1,,,,,,,,,,1874,59,60,Wiki,Congress bio,,
Caspar,W.,Weinberger,,Chair/commissioner,,1969,1970,,R,FTC,4,LLB,1,1,,,,,"CA state director of finance; previously: chairman of Commission on California State Government Organization and Economy, chairman of CA Republican Party, CA Assemblyman, law firm (unknown), law clerk for federal judge",Government,"Political, electoral",1,,1,,,,,,"Deputy director of OMB, director of OMB, Secretary of HHS, VP and General Counsel of Bechtel Corp, Secretary of Defense, publisher of Forbes",Government,Political,1,,,,,,,,,,1917,52,50,Wiki,,,
A.,Leon,Higginbotham,,Commissioner,,1962,1964,,D,FTC,4,Law,1,,,,,,Law practice; previously: assistant district attorney for Philadelphia,Private practice,"Political, private practice",1,,,,1,,,,"Federal judge (PA district court), LBJ advisor, US Court of Appeals judge, adjunct professor, law firm (Paul Weiss)",Government,Political,1,,,,,,,,,,1928,34,30,Wiki,NYT obit,NYT (offensive name in headline),Very young when appointed
Margot,R.,Machol,,Commissioner,,1988,1989,,R,FTC,1,MBA,,,,,,1,"Special assistant to the Chairman for the Council of Economic Advisers in Washington; previously: Executive Assistant to the Under Secretary for Monetary Affairs at the Department of the Treasury, chief legislative assistant for Rep Marks",Government,Political,1,,,,,,,,"Commissioner of the National Commission on Employment Policy, chief of staff of the Millenium Challenge Corporation, staff director of the National H.E.L.P. Commission, author of books/articles on entrepreneurship",Government,"Political, industry",1,,,,,,1,,,,1948,40,40,APP,Wiki,,
George,C.,Mathews,,Commissioner,,1933,1934,,R,FTC,1,BA (economist?),,,,1,,,"Director of Wisconsin Public Utilities Commission; previously: professor of public utilities at Northwestern, rate expert for Wisconsin Railroad Commission, public accounting firm",Government,"Political, academia",1,,,,,,1,,"Member of SEC, VP for Northern States Power company, executive VP for Standard Gas and Electric company",Government,"Political, industry",1,,,,,,1,,,,1886,47,50,Wiki,NYT obit,,
George,,Rublee,,Commissioner,,1915,1916,,Progressive,FTC,1,Law,1,,,,,,"Antitrust reform advisor to Wilson; previously: political advisor on economic matters for Theodore Roosevelt and Robert La Follette, assistant to lawyer for Wall Street corporation (?)",Government,Political,1,,,,,,,,"US rep to Allied Maritime Transportation Council, partner at law firm (Covington & Burling), advisor to US ambassador in Mexico",Government,"Political, law firm",1,,,1,,,,,,Covington & Burling,1868,47,50,Wiki,,,
James,C.,Miller,III,Chair,,1981,1985,,R,FTC,2,"BBA, PhD (economics)",,,,1,1,,"executive director of VP GHWB's Presidential Task Force on Regulatory Relief; previously: administrator of the Office of Information and Regulatory Affairs, scholar/co-director of AEI's center on government regulation, assistant professor",Government,"Political, academia",1,,,,,,1,,"Budget Director for Reagan, law firms (Howrey, Husch Blackwell), member of Board of Governors of the U.S. Postal Service, private equity, scholar",Government,"Political, law firm",1,,,1,,,,,,Howrey Husch Blackwell,1942,39,40,Personal website,NYT,Wiki,"NYT: ""But his thoughts of leaving predate all that. Mr. Miller is not a rich man, and he needs a higher salary to help him pay the tuitions of three children."""
Thurman,,Arnold,,AAG antitrust,,1938,1943,FDR,NA,DOJ,NA,LLB,1,1,,,,,"Special assistant to general counsel of Agricultural Adjustment Administration; previously: state representative/mayor Wyoming, faculty at various law schools, private law practice in Chicago and WY",Government,"Political, electoral",1,,1,,,,,,"Federal Judge (DC Court of Appeals), resigned in 1945 and went into private practice (co-founded Arnold and Porter)",Government,"Political, law firm",1,,,1,,,,,,Arnold & Porter,1891,47,50,FJC,Wiki,,
Joseph,F.,Wayland,,AAG antitrust,,2012,2012,acting,NA,DOJ,NA,JD,1,,1,,,,Senior counsel at FTC; previously: law firm (Wilson Sonsini Goodrich & Rosati) and DOJ staff attorney,Government,"Political, law firm",1,,,1,,,,,"Deputy Assistant Attorney General (unclear division), law firm partner (Sullivan & Cromwell)",Government,"Political, law firm",1,,,1,,,,,,Sullivan & Cromwell,1957,55,60,,,,
James,M.,Landis,,Commissioner,,1933,1934,,D,FTC,3,LLB,1,1,,,,,Professor (Harvard Law); previously: SCOTUS clerk,Academia,Academia,,,,,,,1,,"Member of SEC, dean of Harvard Law, US Office of Civilian Defense, various other government positions, law firm (Landis, Feldman, Reily & Akers)",Government,"Political, law firm, academia",1,,,1,,1,,,,"Landis, Feldman, Reily & Akers",1899,34,30,Wiki,NYT,,
William,Joseph,Donovan,,AAG antitrust,,1926,1927,Coolidge,NA,DOJ,NA,Law,1,,,,,,"AAG of Criminal Division; previously: state AG, private practice",Government,"Political, private practice",1,,,,1,,,,Private practice; intelligence community work,Private practice,"Political, private practice",1,,,,1,,,,,,1883,43,40,DOJ website,Wiki,,
Herbert,,Bergson,,AAG antitrust,,1948,1950,Truman,NA,DOJ,NA,Law,1,,,,,,Acting AAG of claims division; previously: spent 14 years at DOJ,Government,Civil service,,1,,,,,,,Private practice,Private practice,Private practice,,,,,1,,,,,,1905,43,40,NYT-bio,NYT-investigation,WaPo obit,Later investigated by House Judiciary committee for taking fees from business interests
John,W.,Gwynne,,Chair/commissioner,,1953,1959,,R,FTC,2,Law,1,,,,,,"Member of House (Iowa); previously: county attorney, judge of the municipal court, private practice, farmer",Government,"Electoral, political",1,,1,,,,,,Law practice (Iowa),Private practice,Private practice,,,,,1,,,,,,1889,64,60,Wiki,House bios,NYT,
Leonard,,Bessman,,AAG antitrust,,1950,1951,Truman,NA,DOJ,NA,Law,1,,,,,,Assistant Attorney General of Wisconsin in charge of antitrust; previously: special attorney for antitrust division of DOJ,Government,"Political, civil servant",1,1,,,,,,,"Private practice, chairman of Wisconsin public service commission, US bankruptcy judge",Private practice,Private practice,,,,,1,,,,,,1909,41,40,"See ""Documents"" folder",Obit in local paper,,"In nomination testimony Bessman states that AAG for antitrust created ""1 year ago"""
Vernon,W.,Van Fleet,,Chair/commissioner,,1922,1926,,R,FTC,5,Law,1,,,,,,"special assistant to AG; previously: judge of Indiana Superior Court, member of Indiana House of Representatives, involved with Indiana state Republican party",Government,"Political, civil service",1,1,,,,,,,Private practice (unclear),Private practice,Private practice,,,,,1,,,,,,1866,56,60,Wiki,NYT obit,NYT2,
Albert,A.,Carretta,,Commissioner,,1952,1954,,D,FTC,3,"Economics, law",1,,,1,,,"Law practice (unknown) and law lecturer; previously: worked for SEC, taught economics",Private practice,"Private practice, civil servant",,1,,,1,,,,Law practice (represented corporations and trade associations before federal agencies),Private practice,Private practice,,,,,1,,,,,,1907,45,50,NYT,,,
John,Lord,O'Brian,,AAG antitrust,,1929,1933,Hoover,NA,DOJ,NA,LLB,1,1,,,,,"Private practice; previously: US Attorney for Western District of NY, Head of War Emergency Division of DOJ",Private practice,"Private practice, electoral",,,1,,1,,,,Private practice (in Buffalo and later Covington & Burlin),Private practice,"Private practice, law firm",,,,1,1,,,,,Covington & Burling,1874,55,60,Wiki,NY obit,,
William,C.,Kern,,Commissioner,,1955,1962,,D,FTC,4,Law,1,,,,,,Assistant director of FTC's litigation section; previously: staff lawyer at FTC,Government,Civil service,,1,,,,,,,Likely retired (died soon after),Retired,Retired,,,,,,,,,1,,1902,53,50,NYT obit,,,Son of Senate majority leader
Garland,S.,Ferguson,,Chair (x4)/commissioner,,1927,1949,,D,FTC,4,Law,1,,,,,,"Law practice in NC; previously: assistant general counsel for shipping company, law practice",Private practice,Private practice,,,,,1,,,,Likely retired,Retired,Retired,,,,,,,,,1,,1878,49,50,Wiki,NYT obit,,
