usCite,term,chief,caseName,majOpinWriter,majVotes,minVotes,vote_HHBurton,vote_RHJackson,vote_WODouglas,vote_FFrankfurter,vote_SFReed,vote_HLBlack,vote_WBRutledge,vote_FMurphy,vote_FMVinson,vote_TCClark,vote_SMinton,vote_EWarren,vote_JHarlan2,vote_WJBrennan,vote_CEWhittaker,vote_PStewart,vote_BRWhite,vote_AJGoldberg,vote_AFortas,vote_TMarshall,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan,vote_NMGorsuch,vote_BMKavanaugh,vote_ACBarrett,dateDecision,Filed Date,Year,BG_include,Westlaw_search,Include?,decisionFavored_BG,sgFavoredOrRep,party1,party2,partyDecisionFavored,partySGFavored,lawEconCitation,Notes
402 U.S. 673,1970,Burger,UNITED STATES v. ARMOUR & CO. et al.,98,4,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971/06/01 00:00:00,1971,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
404 U.S. 508,1971,Burger,CALIFORNIA MOTOR TRANSPORT CO. et al. v. TRUCKING UNLIMITED et al.,81,7,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/01/13 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
404 U.S. 558,1971,Burger,UNITED STATES v. STANDARD OIL CO. OF CALIFORNIA,NA,9,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/01/24 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
405 U.S. 233,1971,Burger,FEDERAL TRADE COMMISSION v. SPERRY & HUTCHINSON CO.,95,7,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/03/01 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
405 U.S. 251,1971,Burger,HAWAII v. STANDARD OIL CO. OF CALIFORNIA et al.,98,5,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/03/01 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
405 U.S. 298,1971,Burger,UNITED STATES v. MISSISSIPPI CHEMICAL CORP. et al.,98,8,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/03/06 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
405 U.S. 562,1971,Burger,FORD MOTOR CO. v. UNITED STATES et al.,81,5,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/03/29 00:00:00,1972,Yes,Yes,Yes,D,"NA",Company,Government,p2,p2,Yes,Incorrect BG coding?
405 U.S. 596,1971,Burger,"UNITED STATES v. TOPCO ASSOCIATES, INC.",98,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/03/29 00:00:00,1972,Yes,Yes,Yes,P,"NA",Federal government,Company,p1,p1,Yes,NA
406 U.S. 109,1971,Burger,WASHINGTON et al. v. GENERAL MOTORS CORP. et al.,81,8,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/04/24 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
407 U.S. 258,1971,Burger,FLOOD v. KUHN et al.,100,5,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/06/19 00:00:00,1972,Yes,Yes,Yes,D,None,Individual,Company,p2,None,Yes,NA
408 U.S. 665,1971,Burger,"BRANZBURG v. HAYES et al., JUDGES",95,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/06/29 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
409 U.S. 151,1972,Burger,TIDEWATER OIL CO. v. UNITED STATES et al.,98,6,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972/12/06 00:00:00,1972,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
409 U.S. 289,1972,Burger,RICCI v. CHICAGO MERCANTILE EXCHANGE et al.,95,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/01/09 00:00:00,1973,Yes,Yes,Yes,P,D,Individual,Company,p1,p2,No,NA
409 U.S. 363,1972,Burger,"HUGHES TOOL CO. et al. v. TRANS WORLD AIRLINES, INC.",81,6,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/01/10 00:00:00,1973,Yes,Yes,Yes,D,P,Bigger company,Smaller company,p2,p1,No,company used to have a controlling interest in said airline
410 U.S. 52,1972,Burger,UNITED STATES v. GLAXO GROUP LTD. et al.,95,6,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/01/22 00:00:00,1973,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
410 U.S. 366,1972,Burger,OTTER TAIL POWER CO. v. UNITED STATES,81,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/02/22 00:00:00,1973,Yes,Yes,Yes,P,"NA",Company,Government,p2,p2,No,NA
410 U.S. 526,1972,Burger,UNITED STATES v. FALSTAFF BREWING CORP. et al.,95,5,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/02/28 00:00:00,1973,Yes,Yes,Yes,D,"NA",Federal government,Company,p1,p1,No,Incorrect BG coding?
413 U.S. 376,1972,Burger,PITTSBURGH PRESS CO. v. PITTSBURGH COMMISSION ON HUMAN RELATIONS et al.,101,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/06/21 00:00:00,1973,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
414 U.S. 113,1973,Burger,CHICAGO MERCANTILE EXCHANGE v. DEAKTOR et al.,NA,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973/12/03 00:00:00,1973,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
414 U.S. 538,1973,Burger,AMERICAN PIPE & CONSTRUCTION CO. et al. v. UTAH et al.,94,9,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974/01/16 00:00:00,1974,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
415 U.S. 486,1973,Burger,UNITED STATES v. GENERAL DYNAMICS CORP. et al.,94,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974/03/19 00:00:00,1974,Yes,No,Yes,D,"NA",Federal government,Company,p2,p1,Yes,NA
417 U.S. 156,1973,Burger,EISEN v. CARLISLE & JACQUELIN et al.,101,6,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974/05/28 00:00:00,1974,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
418 U.S. 241,1973,Burger,"MIAMI HERALD PUBLISHING CO., DIVISION OF KNIGHT NEWSPAPERS, INC. v. TORNILLO",99,9,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,NA,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974/06/25 00:00:00,1974,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
418 U.S. 602,1973,Burger,"UNITED STATES v. MARINE BANCORPORATION, INC., et al.",101,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974/06/26 00:00:00,1974,Yes,No,Yes,D,"NA",Federal government,Company,p1,p1,Yes,NA
419 U.S. 186,1974,Burger,"GULF OIL CORP. et al. v. COPP PAVING CO., INC., et al.",101,7,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974/12/17 00:00:00,1974,Yes,Yes,Yes,D,P,Bigger company,Smaller company,p1,p2,No,NA
421 U.S. 454,1974,Burger,"JOHNSON v. RAILWAY EXPRESS AGENCY, INC., et al.",100,6,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/05/19 00:00:00,1975,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA
421 U.S. 616,1974,Burger,"CONNELL CONSTRUCTION CO., INC. v. PLUMBERS & STEAMFITTERS LOCAL UNION NO. 100, UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA, AFL-CIO",101,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/06/02 00:00:00,1975,Yes,Yes,Yes,P,D,Company,Union,p1,p2,No,NA
421 U.S. 773,1974,Burger,GOLDFARB et ux. v. VIRGINIA STATE BAR et al.,99,8,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/06/16 00:00:00,1975,Yes,Yes,Yes,P,P,Individual,State-sanctioned professional association,p1,p1,No,NA
422 U.S. 86,1974,Burger,UNITED STATES v. CITIZENS & SOUTHERN NATIONAL BANK et al.,94,6,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975/06/17 00:00:00,1975,Yes,Yes,Yes,D,"NA",Federal government,Company,p2,p1,Yes,NA
