QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USNBCWSJ.00APMY.R25,Favor proposal to break up Microsoft,35,"As you may know, a federal judge has ruled that Microsoft is a monopoly that has used its dominant position to harm competitors. There are reports that the Justice Department is proposing to break up Microsoft into more than one company as a remedy. Would you favor or oppose a proposal by the Justice Department to break up Microsoft into more than one company?",pro,,Asked of Form A half sample,5/1/00,Hart-Teeter Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,4/29/00,5/1/00,Y,National Registered Voters,1003,Telephone Interview,
USNBCWSJ.00APMY.R25,Oppose proposal to break up Microsoft,52,"As you may know, a federal judge has ruled that Microsoft is a monopoly that has used its dominant position to harm competitors. There are reports that the Justice Department is proposing to break up Microsoft into more than one company as a remedy. Would you favor or oppose a proposal by the Justice Department to break up Microsoft into more than one company?",anti,,Asked of Form A half sample,5/1/00,Hart-Teeter Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,4/29/00,5/1/00,Y,National Registered Voters,1003,Telephone Interview,
USNBCWSJ.00APMY.R25,Not sure,13,"As you may know, a federal judge has ruled that Microsoft is a monopoly that has used its dominant position to harm competitors. There are reports that the Justice Department is proposing to break up Microsoft into more than one company as a remedy. Would you favor or oppose a proposal by the Justice Department to break up Microsoft into more than one company?",ambig,,Asked of Form A half sample,5/1/00,Hart-Teeter Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,4/29/00,5/1/00,Y,National Registered Voters,1003,Telephone Interview,
