QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USLAT.00MAY9.R73,Yes,23,"As you may also know, the US (United States) government wants to break up Microsoft into two separate companies. Do you think Microsoft should be broken up or not?",pro,,,5/9/00,Los Angeles Times,,Los Angeles Times Poll,5/4/00,5/7/00,Y,National adult,1502,Telephone Interview,
USLAT.00MAY9.R73,No,53,"As you may also know, the US (United States) government wants to break up Microsoft into two separate companies. Do you think Microsoft should be broken up or not?",anti,,,5/9/00,Los Angeles Times,,Los Angeles Times Poll,5/4/00,5/7/00,Y,National adult,1502,Telephone Interview,
USLAT.00MAY9.R73,Don't know,24,"As you may also know, the US (United States) government wants to break up Microsoft into two separate companies. Do you think Microsoft should be broken up or not?",ambig,,,5/9/00,Los Angeles Times,,Los Angeles Times Poll,5/4/00,5/7/00,Y,National adult,1502,Telephone Interview,
