QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USORC.49NOV.R25,New laws needed,23,"Do you think we need new laws to control big companies, or that enforcing the present laws will do the job?",pro,,,11/1/49,Opinion Research Corporation,,ORC Public Opinion Index,10/1/49,10/14/49,Y,National adult,1626,Face-to-face interview,
USORC.49NOV.R25,Present laws okay,59,"Do you think we need new laws to control big companies, or that enforcing the present laws will do the job?",anti,,,11/1/49,Opinion Research Corporation,,ORC Public Opinion Index,10/1/49,10/14/49,Y,National adult,1626,Face-to-face interview,
USORC.49NOV.R25,No opinion,18,"Do you think we need new laws to control big companies, or that enforcing the present laws will do the job?",ambig,,,11/1/49,Opinion Research Corporation,,ORC Public Opinion Index,10/1/49,10/14/49,Y,National adult,1626,Face-to-face interview,
