QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGALLUP.00JN22.R09,Judge,34,"We have a question about the Justice Department anti-trust case against the Microsoft Corporation, the computer software company run by Bill Gates. As you may know, the federal judge in this case has ruled that the Microsoft Corporation, must be split into two separate companies as the remedy for engaging in certain illegal anti-competitive practices. Microsoft denies any wrongdoing and plans to appeal the judge's ruling. Based on what you know about the case, do you side--more with the judge or more with the Microsoft Corporation?",pro,,,6/29/00,Gallup Organization,,Gallup/CNN/USA Today Poll,6/22/00,6/25/00,Y,National adult,1021,Telephone Interview,
USGALLUP.00JN22.R09,Microsoft,55,"We have a question about the Justice Department anti-trust case against the Microsoft Corporation, the computer software company run by Bill Gates. As you may know, the federal judge in this case has ruled that the Microsoft Corporation, must be split into two separate companies as the remedy for engaging in certain illegal anti-competitive practices. Microsoft denies any wrongdoing and plans to appeal the judge's ruling. Based on what you know about the case, do you side--more with the judge or more with the Microsoft Corporation?",anti,,,6/29/00,Gallup Organization,,Gallup/CNN/USA Today Poll,6/22/00,6/25/00,Y,National adult,1021,Telephone Interview,
USGALLUP.00JN22.R09,Neither (vol.),3,"We have a question about the Justice Department anti-trust case against the Microsoft Corporation, the computer software company run by Bill Gates. As you may know, the federal judge in this case has ruled that the Microsoft Corporation, must be split into two separate companies as the remedy for engaging in certain illegal anti-competitive practices. Microsoft denies any wrongdoing and plans to appeal the judge's ruling. Based on what you know about the case, do you side--more with the judge or more with the Microsoft Corporation?",ambig,,,6/29/00,Gallup Organization,,Gallup/CNN/USA Today Poll,6/22/00,6/25/00,Y,National adult,1021,Telephone Interview,
USGALLUP.00JN22.R09,No opinion,8,"We have a question about the Justice Department anti-trust case against the Microsoft Corporation, the computer software company run by Bill Gates. As you may know, the federal judge in this case has ruled that the Microsoft Corporation, must be split into two separate companies as the remedy for engaging in certain illegal anti-competitive practices. Microsoft denies any wrongdoing and plans to appeal the judge's ruling. Based on what you know about the case, do you side--more with the judge or more with the Microsoft Corporation?",ambig,,,6/29/00,Gallup Organization,,Gallup/CNN/USA Today Poll,6/22/00,6/25/00,Y,National adult,1021,Telephone Interview,
