QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USLAT.00MAY9.R72,Agree,22,"As you may know, Microsoft was recently charged by the government with anti-trust violations, meaning in violation of our country's laws that prohibit monopolies. The judge in the trial ruled against Microsoft and said that it violated these anti-trust laws, Do you agree or disagree with this ruling or haven't you heard enough to say?",pro,,,5/9/00,Los Angeles Times,,Los Angeles Times Poll,5/4/00,5/7/00,Y,National adult,1502,Telephone Interview,
USLAT.00MAY9.R72,Disagree,32,"As you may know, Microsoft was recently charged by the government with anti-trust violations, meaning in violation of our country's laws that prohibit monopolies. The judge in the trial ruled against Microsoft and said that it violated these anti-trust laws, Do you agree or disagree with this ruling or haven't you heard enough to say?",anti,,,5/9/00,Los Angeles Times,,Los Angeles Times Poll,5/4/00,5/7/00,Y,National adult,1502,Telephone Interview,
USLAT.00MAY9.R72,Haven't heard enough/Don't know,46,"As you may know, Microsoft was recently charged by the government with anti-trust violations, meaning in violation of our country's laws that prohibit monopolies. The judge in the trial ruled against Microsoft and said that it violated these anti-trust laws, Do you agree or disagree with this ruling or haven't you heard enough to say?",ambig,,,5/9/00,Los Angeles Times,,Los Angeles Times Poll,5/4/00,5/7/00,Y,National adult,1502,Telephone Interview,
