QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USNYT.99007B.Q67,Justice Department,26,"The Justice Department says that Microsoft is engaging in unfair competition that hurts consumers. Microsoft says that its practices make software easier to use and are good for consumers. With whom do you tend to agree more on this matter, the Justice Department or Microsoft?",pro,,,7/1/99,New York Times,,New York Times Poll,7/17/99,7/19/99,Y,National adult,1178,Telephone Interview,
USNYT.99007B.Q67,Microsoft,46,"The Justice Department says that Microsoft is engaging in unfair competition that hurts consumers. Microsoft says that its practices make software easier to use and are good for consumers. With whom do you tend to agree more on this matter, the Justice Department or Microsoft?",anti,,,7/1/99,New York Times,,New York Times Poll,7/17/99,7/19/99,Y,National adult,1178,Telephone Interview,
USNYT.99007B.Q67,Don't know/No answer,29,"The Justice Department says that Microsoft is engaging in unfair competition that hurts consumers. Microsoft says that its practices make software easier to use and are good for consumers. With whom do you tend to agree more on this matter, the Justice Department or Microsoft?",ambig,,,7/1/99,New York Times,,New York Times Poll,7/17/99,7/19/99,Y,National adult,1178,Telephone Interview,
