QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USHARRBW.072800.R10,Yes,58,"As corporations merge and grow larger, should the government respond with tougher enforcement of antitrust measures, or not?",pro,,,7/28/00,Harris Interactive,Business Week Magazine,BusinessWeek/Harris Poll,7/21/00,7/24/00,Y,National adult,1000,Telephone Interview,Sample size is approximate.
USHARRBW.072800.R10,No,29,"As corporations merge and grow larger, should the government respond with tougher enforcement of antitrust measures, or not?",anti,,,7/28/00,Harris Interactive,Business Week Magazine,BusinessWeek/Harris Poll,7/21/00,7/24/00,Y,National adult,1000,Telephone Interview,Sample size is approximate.
USHARRBW.072800.R10,Not sure,13,"As corporations merge and grow larger, should the government respond with tougher enforcement of antitrust measures, or not?",ambig,,,7/28/00,Harris Interactive,Business Week Magazine,BusinessWeek/Harris Poll,7/21/00,7/24/00,Y,National adult,1000,Telephone Interview,Sample size is approximate.
