QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USNBCWSJ.00JAN.R24B,Favor proposal to break up Microsoft,37,"As you may know, a federal judge has ruled that Microsoft is a monopoly that has used its dominant position to harm competitors. There are reports that the Justice Department is proposing to break up Microsoft into more than one company as a remedy. Would you favor or oppose a proposal by the Justice Department to break up Microsoft into more than one company?",pro,,Asked of Form B half sample,1/1/00,Hart-Teeter Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,1/25/00,1/26/00,Y,National adult,1010,Telephone Interview,
USNBCWSJ.00JAN.R24B,Oppose proposal to break up Microsoft,46,"As you may know, a federal judge has ruled that Microsoft is a monopoly that has used its dominant position to harm competitors. There are reports that the Justice Department is proposing to break up Microsoft into more than one company as a remedy. Would you favor or oppose a proposal by the Justice Department to break up Microsoft into more than one company?",anti,,Asked of Form B half sample,1/1/00,Hart-Teeter Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,1/25/00,1/26/00,Y,National adult,1010,Telephone Interview,
USNBCWSJ.00JAN.R24B,Not sure,17,"As you may know, a federal judge has ruled that Microsoft is a monopoly that has used its dominant position to harm competitors. There are reports that the Justice Department is proposing to break up Microsoft into more than one company as a remedy. Would you favor or oppose a proposal by the Justice Department to break up Microsoft into more than one company?",ambig,,Asked of Form B half sample,1/1/00,Hart-Teeter Research Companies,NBC News; Wall Street Journal,NBC News/Wall Street Journal Poll,1/25/00,1/26/00,Y,National adult,1010,Telephone Interview,
