QuestionID,RespTxt,RespPct,QuestionTxt,AntitrustDirection,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USODFOX.2000098.Q25,Is forced to pay a fine and change its business practices,16,"This week a US (United States) District Court judge ruled that Microsoft has gained monopoly power by engaging in anti-competitive practices.  Do you think it would be better for computer users if Microsoft: is forced to pay a fine and change its business practices, or if Microsoft is broken up into a few smaller companies, or if Microsoft is mostly left alone?",pro,,,4/30/00,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,4/5/00,4/6/00,Y,National registered adult,904,Telephone Interview,
USODFOX.2000098.Q25,If Microsoft is broken up into a few smaller companies,21,"This week a US (United States) District Court judge ruled that Microsoft has gained monopoly power by engaging in anti-competitive practices.  Do you think it would be better for computer users if Microsoft: is forced to pay a fine and change its business practices, or if Microsoft is broken up into a few smaller companies, or if Microsoft is mostly left alone?",pro,,,4/30/00,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,4/5/00,4/6/00,Y,National registered adult,904,Telephone Interview,
USODFOX.2000098.Q25,If Microsoft is mostly left alone,47,"This week a US (United States) District Court judge ruled that Microsoft has gained monopoly power by engaging in anti-competitive practices.  Do you think it would be better for computer users if Microsoft: is forced to pay a fine and change its business practices, or if Microsoft is broken up into a few smaller companies, or if Microsoft is mostly left alone?",anti,,,4/30/00,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,4/5/00,4/6/00,Y,National registered adult,904,Telephone Interview,
USODFOX.2000098.Q25,Not sure,16,"This week a US (United States) District Court judge ruled that Microsoft has gained monopoly power by engaging in anti-competitive practices.  Do you think it would be better for computer users if Microsoft: is forced to pay a fine and change its business practices, or if Microsoft is broken up into a few smaller companies, or if Microsoft is mostly left alone?",ambig,,,4/30/00,Opinion Dynamics,Fox News,FOX News/Opinion Dynamics Poll,4/5/00,4/6/00,Y,National registered adult,904,Telephone Interview,
